Mail Alias,Created By,Modified Time,Parent Department,Department Lead,Department Name,ID,Approval Status,Modified By,Created Time
,AASPL-NUAGECX-0001  - NuageCX Admin,05-May-2026 16:13:22,,,Data Services,723706000000426125,Not Submitted,AASPL-1702  - Shweta Puri,30-Jul-2025 17:12:09
,AASPL-NUAGECX-0001  - NuageCX Admin,11-May-2026 16:22:47,,,DS & AI Services,723706000000426175,Not Submitted,AASPL-1702  - Shweta Puri,30-Jul-2025 17:12:09
,AASPL-1702  - Shweta Puri,26-Feb-2026 14:42:54,,723706000000568736,Business Transformation Services,723706000005172046,Not Submitted,AASPL-1702  - Shweta Puri,20-Jan-2026 12:59:10
,AASPL-1702  - Shweta Puri,05-May-2026 16:22:28,,,Operations,723706000007287510,Not Submitted,AASPL-1702  - Shweta Puri,05-May-2026 16:22:28
,AASPL-NUAGECX-0001  - NuageCX Admin,05-May-2026 16:13:46,,,Technology Services,723706000000426165,Not Submitted,AASPL-1702  - Shweta Puri,30-Jul-2025 17:12:09
,AASPL-NUAGECX-0001  - NuageCX Admin,30-Jul-2025 17:12:09,,,Sales and Marketing,723706000000426135,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,30-Jul-2025 17:12:09
,AASPL-NUAGECX-0001  - NuageCX Admin,05-May-2026 16:19:01,,,Enablement Services,723706000000418493,Not Submitted,AASPL-1702  - Shweta Puri,30-Jul-2025 13:29:47
,AASPL-NUAGECX-0001  - NuageCX Admin,30-Jul-2025 17:12:09,,,Management,723706000000426105,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,30-Jul-2025 17:12:09
,AASPL-NUAGECX-0001  - NuageCX Admin,05-May-2026 16:14:08,,,Customer Delivery,723706000000426155,Not Submitted,AASPL-1702  - Shweta Puri,30-Jul-2025 17:12:09
,AASPL-NUAGECX-0001  - NuageCX Admin,18-Sep-2025 15:43:13,723706000000418493,,Finance,723706000003389208,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,18-Sep-2025 15:43:13
,AASPL-NUAGECX-0001  - NuageCX Admin,05-May-2026 16:15:51,723706000000418493,,Administration,723706000003389198,Not Submitted,AASPL-1702  - Shweta Puri,18-Sep-2025 15:41:15
,AASPL-NUAGECX-0001  - NuageCX Admin,18-Sep-2025 15:44:11,723706000000418493,,Human Resource,723706000003389228,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,18-Sep-2025 15:44:11
,AASPL-NUAGECX-0001  - NuageCX Admin,18-Sep-2025 15:43:25,723706000000418493,,IT,723706000003389218,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,18-Sep-2025 15:43:25
,AASPL-NUAGECX-0001  - NuageCX Admin,07-Jan-2026 19:13:43,723706000000418493,,PMO,723706000003701967,Not Submitted,AASPL-ZOHO-0001  - Zoho Admin,30-Sep-2025 13:53:42
