Expected Realization date,Pre Approval Sent Date,Feb Monthly Forecast,May Monthly Forecast,Mar Monthly Forecast,SAP Approval Status,Approval Date,Post Approver (SAP Approver),Invoice Delta,Customer Name,Remarks,Prepared By,Aug Monthly Forecast,Project Status,Column1,Late Payments,Invoice Status,Apr Monthly Forecast,Financial Year,PO Balance Amount,QB Realization Date,Nudging List Status (LYB),PO Amount Consumed,2025 Invoice Details,Approved Date,Formula 1,Month,Post Approval TAT,Formula,Revenue Realised,Name,Managed Services / Staff Org,Formula 2,Effort Approver,Invoiced $Amount,Pay Terms,Realised in Days,Status,Aging,Contracted Revenue (SoW),Revenue Realised Date,Pre Approval Status,Invoice No.,Approval TAT,Pre-Paid TAT,Jul Monthly Forecast,Resource Approval Status,QB Realization Status,SAP Reflection,Effort Approval Status,Jun Monthly Forecast,Submission TAT,Invoice Submission Date,PO Number,Project Master,Reflection TAT,SAP Reflection Date,Taulia - Paid Date,Resource Approver,Jan Monthly Forecast
18 Mar 2025,,,,,,,,,Austin,,,,Completed,,9,,,2025,,27 Mar 2025,,,,,,01_Jan,,,,,,,,"$17,334.00",45,56,Invoice Raised,Between 46 to 60 Days,Austin Cash Application Transformation - Go live readiness,,,ACAT-GLR-012-JAN,,,,,Realised,,,,,31 Jan 2025,,Austin Cash Application Transformation - Go-Live Readiness,,,,,
16 Jun 2025,,,,,,,,,Austin,,,,Ongoing,,4,,,2025,,20 Jun 2025,,,,,,04_Apr,,,,,,,,"$8,667.00",45,51,Invoice Raised,Between 46 to 60 Days,Austin Cash Application Transformation-Support,,,ACAT-25-004-APR,,,,,Realised,,,,,01 May 2025,,Austin Cash Application Transformation - Support,,,,,
17 Mar 2026,,,,,,,,,Austin,,,,,,29,,,2026,,15 Apr 2026,,,,,,01_Jan,,,,,,,,"$8,667.00",45,76,Invoice Raised,Above 60 Days,Austin Cash Application Transformation Support POD Joint Statement of Work (SOW),,,ACAT-26-001-JAN,,,,,Realised,,,,,30 Jan 2026,APS493518,Austin Cash Application Transformation - Support,,,,,
12 Oct 2025,,,,,,,,,Austin,,,,Ongoing,,5,,,2025,,17 Oct 2025,,,,,,08_Aug,,,,,,,,"$8,667.00",45,52,Invoice Raised,Between 46 to 60 Days,Austin Cash Application Transformation-Support,,,ACAT-25-008-AUG,,,,,Realised,,,,,27 Aug 2025,,Austin Cash Application Transformation - Support,,,,,
17 Jun 2026,,,,,,,,,Austin,,,,,,,,,2026,,,,,,,,04_Apr,,,,,,,,"$8,667.00",45,,Invoice Raised,Pending,Austin Cash Application Transformation Support POD Joint Statement of Work (SOW),,,ACAT-26-004-APR,,,,,Pending,,,,,02 May 2026,APS493518,Austin Cash Application Transformation - Support,,,,,
18 May 2025,,,,,,,,,Austin,,,,Ongoing,,1,,,2025,,19 May 2025,,,,,,03_Mar,,,,,,,,"$8,667.00",45,48,Invoice Raised,Between 46 to 60 Days,Austin Cash Application Transformation-Support,,,ACAT-25-003-MAR,,,,,Realised,,,,,02 Apr 2025,,Austin Cash Application Transformation - Support,,,,,
10 Jan 2026,,,,,,,,,Austin,,,,Ongoing,,6,,,2025,,16 Jan 2026,,,,,,11_Nov,,,,,,,,"$17,334.00",45,53,Invoice Raised,Between 46 to 60 Days,CHANGE ORDER – Austin Cash Application Transformation,,,ACAT-25-011-NOV,,,,,Realised,,,,,25 Nov 2025,,Austin Cash Application Transformation - Support,,,,,
14 Jul 2025,,,,,,,,,Austin,,,,Ongoing,,4,,,2025,,18 Jul 2025,,,,,,05_May,,,,,,,,"$8,667.00",45,51,Invoice Raised,Between 46 to 60 Days,Austin Cash Application Transformation-Support,,,ACAT-25-005-MAY,,,,,Realised,,,,,29 May 2025,,Austin Cash Application Transformation - Support,,,,,
07 Feb 2026,,,,,,,,,Austin,,,,Ongoing,,11,,,2025,,18 Feb 2026,,,,,,12_Dec,,,,,,,,"$13,001.00",45,58,Invoice Raised,Between 46 to 60 Days,CHANGE ORDER – Austin Cash Application Transformation,,,ACAT-25-012-DEC,,,,,Realised,,,,,23 Dec 2025,,Austin Cash Application Transformation - Support,,,,,
16 Aug 2025,,,,,,,,,Austin,,,,Ongoing,,6,,,2025,,22 Aug 2025,,,,,,06_Jun,,,,,,,,"$8,667.00",45,53,Invoice Raised,Between 46 to 60 Days,Austin Cash Application Transformation-Support,,,ACAT-25-006-JUN,,,,,Realised,,,,,01 Jul 2025,,Austin Cash Application Transformation - Support,,,,,
17 Nov 2025,,,,,,,,,Austin,,,,Ongoing,,93,,,2025,,18 Feb 2026,,,,,,09_Sep,,,,,,,,"$8,667.00",45,140,Invoice Raised,Above 60 Days,Austin Cash Application Transformation-Support,,,ACAT-25-009-SEPT,,,,,Realised,,,,,02 Oct 2025,,Austin Cash Application Transformation - Support,,,,,
13 Apr 2026,,,,,,,,,Austin,,,,,,2,,,2026,,15 Apr 2026,,,,,,02_Feb,,,,,,,,"$8,667.00",45,49,Invoice Raised,Between 46 to 60 Days,Austin Cash Application Transformation Support POD Joint Statement of Work (SOW),,,ACAT-26-002-FEB,,,,,Realised,,,,,26 Feb 2026,APS493518,Austin Cash Application Transformation - Support,,,,,
18 Mar 2025,,,,,,,,,Austin,,,,Ongoing,,9,,,2025,,27 Mar 2025,,,,,,01_Jan,,,,,,,,"$8,667.00",45,56,Invoice Raised,Between 46 to 60 Days,Austin Cash Application Transformation-Support,,,ACAT-011-JAN,,,,,Realised,,,,,31 Jan 2025,,Austin Cash Application Transformation - Support,,,,,
21 Dec 2025,,,,,,,,,Austin,,,,Ongoing,,0,,,2025,,10 Dec 2025,,,,,,10_Oct,,,,,,,,"$17,334.00",45,36,Invoice Raised,Between 31 to 45 Days,CHANGE ORDER – Austin Cash Application Transformation,,,ACAT-25-010-OCT,,,,,Realised,,,,,05 Nov 2025,,Austin Cash Application Transformation - Support,,,,,
14 Jul 2026,,,,,,,,,Austin,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,"$8,667.00",45,,Invoice Raised,Pending,Austin Cash Application Transformation Support POD Joint Statement of Work (SOW),,,ACAT-26-005-MAY,,,,,Pending,,,,,29 May 2026,APS493518,Austin Cash Application Transformation - Support,,,,,
15 Sep 2025,,,,,,,,,Austin,,,,Ongoing,,0,,,2025,,11 Sep 2025,,,,,,07_Jul,,,,,,,,"$8,667.00",45,43,Invoice Raised,Between 31 to 45 Days,Austin Cash Application Transformation-Support,,,ACAT-25-007-JUL,,,,,Realised,,,,,31 Jul 2025,,Austin Cash Application Transformation - Support,,,,,
19 Apr 2025,,,,,,,,,Austin,,,,Ongoing,,0,,,2025,,11 Apr 2025,,,,,,02_Feb,,,,,,,,"$8,667.00",45,39,Invoice Raised,Between 31 to 45 Days,Austin Cash Application Transformation-Support,,,ACAT-25-002-FEB,,,,,Realised,,,,,04 Mar 2025,,Austin Cash Application Transformation - Support,,,,,
18 May 2026,,,,,,,,,Austin,,,,,,,,,2026,,,,,,,,03_Mar,,,,,,,,"$8,667.00",45,,Invoice Raised,Pending,Austin Cash Application Transformation Support POD Joint Statement of Work (SOW),,,ACAT-26-003-MAR,,,,,Pending,,,,,02 Apr 2026,APS493518,Austin Cash Application Transformation - Support,,,,,
25 Apr 2025,,,,,,,,,Dell,,,,Completed,,3,,,2025,,28 Apr 2025,,,,,,03_Mar,,,,,,,,"$44,000.00",30,35,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 3 Data Science,,,DSA-25-003-MAR,,,,,Realised,,,,,25 Mar 2025,,Dell - AMRS: Account Management,,,,,
27 Mar 2025,,,,,,,,,Dell,,,,Completed,,1,,,2025,,28 Mar 2025,,,,,,02_Feb,,,,,,,,"$44,000.00",30,33,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 3 Data Science,,,DSA-25-002-FEB,,,,,Realised,,,,,24 Feb 2025,,Dell - AMRS: Account Management,,,,,
24 May 2025,,,,,,,,,Dell,,,,Completed,,3,,,2025,,27 May 2025,,,,,,04_Apr,,,,,,,,"$44,000.00",30,35,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 3 Data Science,,,DSA-25-004-APR,,,,,Realised,,,,,23 Apr 2025,,Dell - AMRS: Account Management,,,,,
23 Aug 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,26 Aug 2025,,,,,,07_Jul,,,,,,,,"$100,000.00",30,35,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 14 TO Dell_Aligned Automation TechDirect SOW Phase 2 - Case Task Classification,,,CTC-25-001-JUL,,,,,Realised,,,,,23 Jul 2025,,Dell - CSG Case Classification ML Model,,,,,
21 Dec 2025,,,,,,,,,Dell,,,,"Ongoing, Ongoing, Ongoing, Ongoing",,3,,,2025,,24 Dec 2025,,,,,,11_Nov,,,,,,,,"$27,000.00",30,35,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 14 TO Dell_Aligned AutomationTechDirect SOW Phase 2,,,CTC-25-003-NOV,,,,,Realised,,,,,20 Nov 2025,,Dell - CSG Case Classification ML Model,,,,,
25 Oct 2025,,,,,,,,,Dell,,,,,,3,,,2025,,28 Oct 2025,,,,,,09_Sep,,,,,,,,"$100,000.00",30,35,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 14 TO Dell_Aligned Automation TechDirect SOW Phase 2 - Case Task Classification,,,CTC-25-002-SEPT,,,,,Realised,,,,,24 Sep 2025,,Dell - CSG Case Classification ML Model,,,,,
24 May 2026,,,,,,,,,Dell,Paid,,,,,4,,,2026,,28 May 2026,,,,,,04_Apr,,,,,,,,"$247,777.00",30,36,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 9 TO Dell_Aligned Automation Tech Direct SOW Phase 2-SRU,,,SRU-26-004-APR,,,,,Realised,,,,,23 Apr 2026,PO760877,Dell - Cash Register | Dell - NLPe (AI + Dev) | Dell - Telemetry Intelligence | Dell - Fraud Prevention | Dell - RTG Analytics Support | Dell - NBA - ISG RCA Deep dive and Experimentation | Dell - NBA - Acceleration POD,,,,,
22 Jun 2026,,,,,,,,,Dell,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,"$247,777.00",30,,Invoice Raised,Pending,AMENDMENT NO. 9 TO Dell_Aligned Automation Tech Direct SOW Phase 2-SRU,,,SRU-26-005-MAY,,,,,Pending,,,,,22 May 2026,PO760877,Dell - Cash Register | Dell - NLPe (AI + Dev) | Dell - Telemetry Intelligence | Dell - Fraud Prevention | Dell - RTG Analytics Support | Dell - NBA - ISG RCA Deep dive and Experimentation | Dell - NBA - Acceleration POD,,,,,
23 Apr 2026,,,,,,,,,Dell,,,,,,1,,,2026,,24 Apr 2026,,,,,,03_Mar,,,,,,,,"$247,777.00",30,33,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 9 TO Dell_Aligned Automation Tech Direct SOW Phase 2-SRU,,,SRU-26-003-MAR,,,,,Realised,,,,,23 Mar 2026,PO760877,Dell - Cash Register | Dell - NLPe (AI + Dev) | Dell - Telemetry Intelligence | Dell - Fraud Prevention | Dell - RTG Analytics Support | Dell - NBA - ISG RCA Deep dive and Experimentation | Dell - NBA - Acceleration POD,,,,,
27 Mar 2026,,,,,,,,,Dell,,,,,,0,,,2026,,27 Mar 2026,,,,,,02_Feb,,,,,,,,"$247,777.00",30,32,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 9 TO Dell_Aligned Automation Tech Direct SOW Phase 2-SRU,,,SRU-26-002-FEB,,,,,Realised,,,,,24 Feb 2026,PO760877,Dell - Cash Register | Dell - NLPe (AI + Dev) | Dell - Telemetry Intelligence | Dell - Fraud Prevention | Dell - RTG Analytics Support | Dell - NBA - ISG RCA Deep dive and Experimentation | Dell - NBA - Acceleration POD,,,,,
