Created By,Modified Time,ID,Approval Status,Modified By,Type of Leave,Created Time,Is Leave Type enabled,Leave type
 - Shishir Keshari,10-Dec-2022 21:43:17,723706000000234012,Not Submitted, - Shishir Keshari,Unpaid,10-Dec-2022 21:43:17,Yes,Absent
AASPL-NUAGECX-0001  - NuageCX Admin,05-Sep-2025 06:38:57,723706000000392181,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,Paid,25-Jul-2025 04:12:45,Yes,Adoption or Surogacy leave
 - Shishir Keshari,17-Apr-2026 10:51:19,723706000000234060,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,Paid,10-Dec-2022 21:43:17,Yes,Casual Leave
AASPL-NUAGECX-0001  - NuageCX Admin,23-Apr-2026 02:38:48,723706000006650099,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,Paid,15-Apr-2026 01:22:09,Yes,Casual Leave (New)
 - Shishir Keshari,10-Dec-2022 21:43:17,723706000000234016,Not Submitted, - Shishir Keshari,Compensatory Off,10-Dec-2022 21:43:17,Yes,Compensatory Off
 - Shishir Keshari,19-Feb-2026 04:20:00,723706000000234080,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,Unpaid,10-Dec-2022 21:43:17,Yes,Leave Without Pay
 - Shishir Keshari,25-Dec-2025 08:44:25,723706000000234072,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,Paid,10-Dec-2022 21:43:17,Yes,Maternity Leave
AASPL-NUAGECX-0001  - NuageCX Admin,05-Sep-2025 06:37:47,723706000000392167,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,Paid,25-Jul-2025 04:07:59,Yes,Miscarriage Leave
AASPL-NUAGECX-0001  - NuageCX Admin,19-Feb-2026 07:29:46,723706000005574231,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,Paid,19-Feb-2026 04:27:41,Yes,Paid Time off
 - Shishir Keshari,19-Feb-2026 04:29:13,723706000000234076,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,Paid,10-Dec-2022 21:43:17,Yes,Paternity Leave
 - Shishir Keshari,18-Apr-2026 03:39:50,723706000000234068,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,Paid,10-Dec-2022 21:43:17,Yes,Privileged Leave
AASPL-NUAGECX-0001  - NuageCX Admin,28-Apr-2026 07:09:45,723706000006858142,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,Paid,17-Apr-2026 01:27:15,Yes,Privileged Leave (New)
AASPL-NUAGECX-0001  - NuageCX Admin,17-Apr-2026 01:27:06,723706000006650122,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,Paid,15-Apr-2026 01:43:06,No,Privileged Leave (New) 2
 - Shishir Keshari,20-Aug-2025 04:06:21,723706000000234084,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,Paid,10-Dec-2022 21:43:17,Yes,Sabbatical Leave
 - Shishir Keshari,10-Dec-2022 21:43:17,723706000000234064,Not Submitted, - Shishir Keshari,Paid,10-Dec-2022 21:43:17,No,Sick Leave
AASPL-NUAGECX-0001  - NuageCX Admin,21-Aug-2025 06:38:51,723706000001862721,Not Submitted,AASPL-NUAGECX-0001  - NuageCX Admin,Paid,21-Aug-2025 06:33:34,No,Testing Leave (Clone)
